termino,consulta,anio,recuento,denominador,por_diez_mil,anio_parcial
world model,"abs:""world model""",2018,17,21872,7.77,0
world model,"abs:""world model""",2019,21,32043,6.55,0
world model,"abs:""world model""",2020,36,42913,8.39,0
world model,"abs:""world model""",2021,43,47666,9.02,0
world model,"abs:""world model""",2022,66,52657,12.53,0
world model,"abs:""world model""",2023,151,66213,22.81,0
world model,"abs:""world model""",2024,274,85966,31.87,0
world model,"abs:""world model""",2025,698,106028,65.83,0
world model,"abs:""world model""",2026,1284,91305,140.63,1
chain-of-thought,"abs:""chain-of-thought""",2018,1,21872,0.46,0
chain-of-thought,"abs:""chain-of-thought""",2019,0,32043,0.0,0
chain-of-thought,"abs:""chain-of-thought""",2020,0,42913,0.0,0
chain-of-thought,"abs:""chain-of-thought""",2021,2,47666,0.42,0
chain-of-thought,"abs:""chain-of-thought""",2022,48,52657,9.12,0
chain-of-thought,"abs:""chain-of-thought""",2023,408,66213,61.62,0
chain-of-thought,"abs:""chain-of-thought""",2024,901,85966,104.81,0
chain-of-thought,"abs:""chain-of-thought""",2025,2352,106028,221.83,0
chain-of-thought,"abs:""chain-of-thought""",2026,1799,91305,197.03,1
test-time compute,"abs:""test-time compute""",2018,1,21872,0.46,0
test-time compute,"abs:""test-time compute""",2019,0,32043,0.0,0
test-time compute,"abs:""test-time compute""",2020,2,42913,0.47,0
test-time compute,"abs:""test-time compute""",2021,2,47666,0.42,0
test-time compute,"abs:""test-time compute""",2022,0,52657,0.0,0
test-time compute,"abs:""test-time compute""",2023,4,66213,0.6,0
test-time compute,"abs:""test-time compute""",2024,26,85966,3.02,0
test-time compute,"abs:""test-time compute""",2025,231,106028,21.79,0
test-time compute,"abs:""test-time compute""",2026,199,91305,21.8,1
scaling law,"abs:""scaling law""",2018,2,21872,0.91,0
scaling law,"abs:""scaling law""",2019,6,32043,1.87,0
scaling law,"abs:""scaling law""",2020,5,42913,1.17,0
scaling law,"abs:""scaling law""",2021,21,47666,4.41,0
scaling law,"abs:""scaling law""",2022,32,52657,6.08,0
scaling law,"abs:""scaling law""",2023,80,66213,12.08,0
scaling law,"abs:""scaling law""",2024,280,85966,32.57,0
scaling law,"abs:""scaling law""",2025,430,106028,40.56,0
scaling law,"abs:""scaling law""",2026,405,91305,44.36,1
in-context learning,"abs:""in-context learning""",2018,4,21872,1.83,0
in-context learning,"abs:""in-context learning""",2019,5,32043,1.56,0
in-context learning,"abs:""in-context learning""",2020,8,42913,1.86,0
in-context learning,"abs:""in-context learning""",2021,17,47666,3.57,0
in-context learning,"abs:""in-context learning""",2022,88,52657,16.71,0
in-context learning,"abs:""in-context learning""",2023,590,66213,89.11,0
in-context learning,"abs:""in-context learning""",2024,1052,85966,122.37,0
